document_type,document_number,database_id,date,amount,currency,customer_supplier,bank_account,journal_number,exact_problem_fields,exact_problem,why_cannot_repair_automatically,recommended_action,classification,safe_to_delete_and_recreate,disposition
"expense","EXP/26-26/079","982d2921-ddbc-4cc0-aad5-aca13e0e054f","2026-02-28","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2602-0167","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/26-26/080","ab15aac9-6a0f-4f5c-afce-a1226ccace55","2026-03-31","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2603-0056","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/26-26/081","237dfc77-6b48-4484-bccb-8dff78fbfd7b","2026-04-30","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2604-0064","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/26-26/082","7a2210d0-3c64-4801-a984-9cf4fb85147c","2026-05-31","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2605-0038","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/26-26/083","b6b7b188-e828-4865-9bae-5156dc7c09aa","2026-06-01","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2606-0074","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0025","c37bc3c5-b43b-4d9c-86dd-8461c28bf1c6","2025-01-02","480.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/24-25/001","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0006","09876bda-15ae-476e-9624-e3e417d40108","2025-02-03","1000.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/24-25/008","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0007","b87e815a-289d-483e-99eb-6c8d2fdac0ce","2025-02-26","1000.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/24-25/016","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0023","ea675c5c-251d-4626-840f-416e9fd92505","2025-03-03","600.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/24-25/020","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0022","81a2dd8a-5e10-4267-956e-21601e102499","2025-03-13","100.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/24-25/025","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0021","fbe74a1f-2627-4d9d-84dd-1877fc7bbad4","2025-03-21","850.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/24-25/029","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0008","59fe6c79-6c53-4dc1-8dc1-be5e2cd16028","2025-04-09","500.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/25-26/001","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0009","0f61368b-4174-4820-9f9d-184a016c234d","2025-04-14","300.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/25-26/003","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0010","d7179615-12f7-4b61-bb8d-61d90cd2d17e","2025-04-15","200.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/25-26/005","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0011","27f149fc-84e2-4e38-90ab-fe5e110ca741","2025-04-25","100.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/25-26/009","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0012","a2f7c9bf-c82f-404f-b248-ea406972e261","2025-05-09","200.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/25-26/017","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0013","168c11de-af96-49fe-be32-0cb5ac5ebdd5","2025-05-19","600.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/25-26/019","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0014","cff693aa-0f10-4326-adc9-f2a1e2a8d2d8","2025-05-28","700.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/25-26/023","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0020","58891566-ee54-4a94-a1af-c25e87cfdd1b","2025-06-21","500.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/25-26/036","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0019","00aeb8d2-784d-4a8c-90a4-bf374c74c88a","2025-07-01","900.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/25-26/066","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"fund_transfer","FT2601-0015","f65c15e5-88a3-45c6-8c6f-0d7ef45d7845","2025-08-01","950.00","IDR","","BCA Bank · 0930 2010 22 · USD -> BCA Bank · 0930 2010 14 · IDR","JV/25-26/089","journal functional debit/credit, journal currency metadata","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
